id,email,phone,name,role,is_active,is_staff,is_superuser,created_at
1,admin@gmail.com,0000000000,Prince Admin,ADMIN,True,True,True,2025-11-14T07:18:00.496305+00:00
12,tempadmin0@afrilearntech.com,999000000,Temp Admin 0,ADMIN,True,True,True,2026-02-18T12:08:57.024779+00:00
13,tempadmin1@afrilearntech.com,999000001,Temp Admin 1,ADMIN,True,True,True,2026-02-18T12:08:57.678672+00:00
14,tempadmin2@afrilearntech.com,999000002,Temp Admin 2,ADMIN,True,True,True,2026-02-18T12:08:58.313089+00:00
15,tempadmin3@afrilearntech.com,999000003,Temp Admin 3,ADMIN,True,True,True,2026-02-18T12:08:58.950597+00:00
16,tempadmin4@afrilearntech.com,999000004,Temp Admin 4,ADMIN,True,True,True,2026-02-18T12:08:59.573181+00:00
17,tempadmin5@afrilearntech.com,999000005,Temp Admin 5,ADMIN,True,True,True,2026-02-18T12:09:00.204190+00:00
18,tempadmin6@afrilearntech.com,999000006,Temp Admin 6,ADMIN,True,True,True,2026-02-18T12:09:00.850888+00:00
19,tempadmin7@afrilearntech.com,999000007,Temp Admin 7,ADMIN,True,True,True,2026-02-18T12:09:01.520325+00:00
20,tempadmin8@afrilearntech.com,999000008,Temp Admin 8,ADMIN,True,True,True,2026-02-18T12:09:02.171212+00:00
21,tempadmin9@afrilearntech.com,999000009,Temp Admin 9,ADMIN,True,True,True,2026-02-18T12:09:02.809829+00:00
22,tempadmin10@afrilearntech.com,999000010,Temp Admin 10,ADMIN,True,True,True,2026-02-18T12:09:03.441295+00:00
23,tempadmin11@afrilearntech.com,999000011,Temp Admin 11,ADMIN,True,True,True,2026-02-18T12:09:04.079124+00:00
24,tempadmin12@afrilearntech.com,999000012,Temp Admin 12,ADMIN,True,True,True,2026-02-18T12:09:04.710373+00:00
25,tempadmin13@afrilearntech.com,999000013,Temp Admin 13,ADMIN,True,True,True,2026-02-18T12:09:05.346957+00:00
26,tempadmin14@afrilearntech.com,999000014,Temp Admin 14,ADMIN,True,True,True,2026-02-18T12:09:05.984638+00:00
27,tempadmin15@afrilearntech.com,999000015,Temp Admin 15,ADMIN,True,True,True,2026-02-18T12:09:06.618285+00:00
28,tempadmin16@afrilearntech.com,999000016,Temp Admin 16,ADMIN,True,True,True,2026-02-18T12:09:07.240068+00:00
29,tempadmin17@afrilearntech.com,999000017,Temp Admin 17,ADMIN,True,True,True,2026-02-18T12:09:07.957130+00:00
30,tempadmin18@afrilearntech.com,999000018,Temp Admin 18,ADMIN,True,True,True,2026-02-18T12:09:08.671151+00:00
31,tempadmin19@afrilearntech.com,999000019,Temp Admin 19,ADMIN,True,True,True,2026-02-18T12:09:09.363116+00:00
32,tempadmin20@afrilearntech.com,00011100020,Temp Admin 20,ADMIN,True,True,True,2026-02-18T12:13:39.613655+00:00
33,tempadmin21@afrilearntech.com,00011100021,Temp Admin 21,ADMIN,True,True,True,2026-02-18T12:13:40.315177+00:00
34,tempadmin22@afrilearntech.com,00011100022,Temp Admin 22,ADMIN,True,True,True,2026-02-18T12:13:40.925372+00:00
35,tempadmin23@afrilearntech.com,00011100023,Temp Admin 23,ADMIN,True,True,True,2026-02-18T12:13:41.579817+00:00
36,tempadmin24@afrilearntech.com,00011100024,Temp Admin 24,ADMIN,True,True,True,2026-02-18T12:13:42.199113+00:00
37,tempadmin25@afrilearntech.com,00011100025,Temp Admin 25,ADMIN,True,True,True,2026-02-18T12:13:42.856302+00:00
38,tempadmin26@afrilearntech.com,00011100026,Temp Admin 26,ADMIN,True,True,True,2026-02-18T12:13:43.495619+00:00
39,tempadmin27@afrilearntech.com,00011100027,Temp Admin 27,ADMIN,True,True,True,2026-02-18T12:13:44.120864+00:00
40,tempadmin28@afrilearntech.com,00011100028,Temp Admin 28,ADMIN,True,True,True,2026-02-18T12:13:44.788105+00:00
41,tempadmin29@afrilearntech.com,00011100029,Temp Admin 29,ADMIN,True,True,True,2026-02-18T12:13:45.494707+00:00
42,tempadmin30@afrilearntech.com,00011100030,Temp Admin 30,ADMIN,True,True,True,2026-02-18T12:13:46.194194+00:00
43,tempadmin31@afrilearntech.com,00011100031,Temp Admin 31,ADMIN,True,True,True,2026-02-18T12:13:46.877613+00:00
44,tempadmin32@afrilearntech.com,00011100032,Temp Admin 32,ADMIN,True,True,True,2026-02-18T12:13:47.551987+00:00
45,tempadmin33@afrilearntech.com,00011100033,Temp Admin 33,ADMIN,True,True,True,2026-02-18T12:13:48.243420+00:00
46,tempadmin34@afrilearntech.com,00011100034,Temp Admin 34,ADMIN,True,True,True,2026-02-18T12:13:48.959403+00:00
47,tempadmin35@afrilearntech.com,00011100035,Temp Admin 35,ADMIN,True,True,True,2026-02-18T12:13:49.587331+00:00
48,tempadmin36@afrilearntech.com,00011100036,Temp Admin 36,ADMIN,True,True,True,2026-02-18T12:13:50.254978+00:00
49,tempadmin37@afrilearntech.com,00011100037,Temp Admin 37,ADMIN,True,True,True,2026-02-18T12:13:51.048439+00:00
50,tempadmin38@afrilearntech.com,00011100038,Temp Admin 38,ADMIN,True,True,True,2026-02-18T12:13:51.715867+00:00
51,tempadmin39@afrilearntech.com,00011100039,Temp Admin 39,ADMIN,True,True,True,2026-02-18T12:13:52.362929+00:00
52,tempadmin40@afrilearntech.com,00011100040,Temp Admin 40,ADMIN,True,True,True,2026-02-18T12:13:53.061360+00:00
53,tempadmin41@afrilearntech.com,00011100041,Temp Admin 41,ADMIN,True,True,True,2026-02-18T12:13:53.781347+00:00
54,tempadmin42@afrilearntech.com,00011100042,Temp Admin 42,ADMIN,True,True,True,2026-02-18T12:13:54.424842+00:00
55,tempadmin43@afrilearntech.com,00011100043,Temp Admin 43,ADMIN,True,True,True,2026-02-18T12:13:55.071881+00:00
56,tempadmin44@afrilearntech.com,00011100044,Temp Admin 44,ADMIN,True,True,True,2026-02-18T12:13:55.717901+00:00
57,tempadmin45@afrilearntech.com,00011100045,Temp Admin 45,ADMIN,True,True,True,2026-02-18T12:13:56.353295+00:00
58,tempadmin46@afrilearntech.com,00011100046,Temp Admin 46,ADMIN,True,True,True,2026-02-18T12:13:57.012991+00:00
59,tempadmin47@afrilearntech.com,00011100047,Temp Admin 47,ADMIN,True,True,True,2026-02-18T12:13:57.647853+00:00
60,tempadmin48@afrilearntech.com,00011100048,Temp Admin 48,ADMIN,True,True,True,2026-02-18T12:13:58.301472+00:00
61,tempadmin49@afrilearntech.com,00011100049,Temp Admin 49,ADMIN,True,True,True,2026-02-18T12:13:58.954372+00:00
