id,email,phone,name,role,is_active,is_staff,is_superuser,created_at
171,tempadmin0@afrilearntech.com,1110000,Temp Admin 0,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:01.659736+00:00
172,tempadmin1@afrilearntech.com,1110001,Temp Admin 1,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:03.013476+00:00
173,tempadmin2@afrilearntech.com,1110002,Temp Admin 2,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:04.531703+00:00
174,tempadmin3@afrilearntech.com,1110003,Temp Admin 3,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:05.868040+00:00
175,tempadmin4@afrilearntech.com,1110004,Temp Admin 4,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:07.244991+00:00
176,tempadmin5@afrilearntech.com,1110005,Temp Admin 5,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:08.637441+00:00
177,tempadmin6@afrilearntech.com,1110006,Temp Admin 6,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:10.169915+00:00
178,tempadmin7@afrilearntech.com,1110007,Temp Admin 7,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:11.832076+00:00
179,tempadmin8@afrilearntech.com,1110008,Temp Admin 8,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:13.181708+00:00
180,tempadmin9@afrilearntech.com,1110009,Temp Admin 9,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:14.504487+00:00
181,tempadmin10@afrilearntech.com,11100010,Temp Admin 10,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:15.849491+00:00
182,tempadmin11@afrilearntech.com,11100011,Temp Admin 11,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:17.253452+00:00
183,tempadmin12@afrilearntech.com,11100012,Temp Admin 12,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:18.574059+00:00
184,tempadmin13@afrilearntech.com,11100013,Temp Admin 13,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:19.856675+00:00
185,tempadmin14@afrilearntech.com,11100014,Temp Admin 14,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:21.239381+00:00
186,tempadmin15@afrilearntech.com,11100015,Temp Admin 15,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:22.574257+00:00
187,tempadmin16@afrilearntech.com,11100016,Temp Admin 16,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:23.849320+00:00
188,tempadmin17@afrilearntech.com,11100017,Temp Admin 17,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:25.340702+00:00
189,tempadmin18@afrilearntech.com,11100018,Temp Admin 18,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:26.647426+00:00
190,tempadmin19@afrilearntech.com,11100019,Temp Admin 19,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:28.105215+00:00
191,tempadmin20@afrilearntech.com,11100020,Temp Admin 20,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:29.404844+00:00
192,tempadmin21@afrilearntech.com,11100021,Temp Admin 21,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:30.738866+00:00
193,tempadmin22@afrilearntech.com,11100022,Temp Admin 22,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:32.326106+00:00
194,tempadmin23@afrilearntech.com,11100023,Temp Admin 23,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:33.617497+00:00
195,tempadmin24@afrilearntech.com,11100024,Temp Admin 24,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:35.179571+00:00
196,tempadmin25@afrilearntech.com,11100025,Temp Admin 25,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:36.506473+00:00
197,tempadmin26@afrilearntech.com,11100026,Temp Admin 26,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:38.045429+00:00
198,tempadmin27@afrilearntech.com,11100027,Temp Admin 27,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:39.401898+00:00
199,tempadmin28@afrilearntech.com,11100028,Temp Admin 28,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:40.720006+00:00
200,tempadmin29@afrilearntech.com,11100029,Temp Admin 29,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:42.075037+00:00
201,tempadmin30@afrilearntech.com,11100030,Temp Admin 30,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:43.704099+00:00
202,tempadmin31@afrilearntech.com,11100031,Temp Admin 31,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:45.327460+00:00
203,tempadmin32@afrilearntech.com,11100032,Temp Admin 32,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:46.638988+00:00
204,tempadmin33@afrilearntech.com,11100033,Temp Admin 33,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:48.030823+00:00
205,tempadmin34@afrilearntech.com,11100034,Temp Admin 34,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:49.327929+00:00
206,tempadmin35@afrilearntech.com,11100035,Temp Admin 35,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:50.601349+00:00
207,tempadmin36@afrilearntech.com,11100036,Temp Admin 36,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:51.998696+00:00
208,tempadmin37@afrilearntech.com,11100037,Temp Admin 37,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:53.262132+00:00
209,tempadmin38@afrilearntech.com,11100038,Temp Admin 38,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:54.672832+00:00
210,tempadmin39@afrilearntech.com,11100039,Temp Admin 39,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:56.011201+00:00
211,tempadmin40@afrilearntech.com,11100040,Temp Admin 40,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:57.301222+00:00
212,tempadmin41@afrilearntech.com,11100041,Temp Admin 41,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:58.660554+00:00
213,tempadmin42@afrilearntech.com,11100042,Temp Admin 42,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:22:59.956937+00:00
214,tempadmin43@afrilearntech.com,11100043,Temp Admin 43,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:23:01.497382+00:00
215,tempadmin44@afrilearntech.com,11100044,Temp Admin 44,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:23:03.040172+00:00
216,tempadmin45@afrilearntech.com,11100045,Temp Admin 45,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:23:04.577554+00:00
217,tempadmin46@afrilearntech.com,11100046,Temp Admin 46,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:23:05.937069+00:00
218,tempadmin47@afrilearntech.com,11100047,Temp Admin 47,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:23:07.304451+00:00
219,tempadmin48@afrilearntech.com,11100048,Temp Admin 48,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:23:08.745915+00:00
220,tempadmin49@afrilearntech.com,11100049,Temp Admin 49,ADMIN,TRUE,TRUE,TRUE,2026-02-18T12:23:10.106388+00:00
